,SigmaBR  1 [-],SigmaBR  2 [-],SigmaBR  3 [-],OmegaBR  1 [rad/s],OmegaBR  2 [rad/s],OmegaBR  3 [rad/s],SigmaBN  1 [-],SigmaBN  2 [-],SigmaBN  3 [-],OmegaBN_B  1 [rad/s],OmegaBN_B  2 [rad/s],OmegaBN_B  3 [rad/s],BetaBN  1 [-],BetaBN  2 [-],BetaBN  3 [-],BetaBN  4 [-],Position  1 [m],Position  2 [m],Position  3 [m],numRW,RW Torque  1 [Nm],RW Torque  2 [Nm],RW Torque  3 [Nm],RW Torque  4 [Nm],RW Torque Req  1 [Nm],RW Torque Req  2 [Nm],RW Torque Req  3 [Nm],RW Torque Req  4 [Nm],RW Omega  1 [rad/s],RW Omega  2 [rad/s],RW Omega  3 [rad/s],RW Omega  4 [rad/s],RW Omega True  1 [rad/s],RW Omega True  2 [rad/s],RW Omega True  3 [rad/s],RW Omega True  4 [rad/s],RW Volt  1 [V],RW Volt  2 [V],RW Volt  3 [V],RW Volt  4 [V],RW Temp  1 [C],RW Temp  2 [C],RW Temp  3 [C],RW Temp  4 [C],RW Power  1 [W],RW Power  2 [W],RW Power  3 [W],RW Power  4 [W],Panel Angle [rad],Panel Angle Rate [rad/s],Position  1 [m],Position  2 [m],Position  3 [m],Net Power [W],Stored Energy [Ws],Sink Power [W],Supply Power [W],numCSS,CSS Cos Values  1 [-],CSS Cos Values  2 [-],CSS Cos Values  3 [-],CSS Cos Values  4 [-],CSS Cos Values  5 [-],CSS Cos Values  6 [-],CSS Cos Values  7 [-],CSS Cos Values  8 [-],Sun Heading [-],Fault
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2801001702484209,0.0692273738206818,-0.713446882434179,0.0,0.0,0.0,0.25608022218531534,-0.3518282840797811,0.08695513508998787,-0.8961465186053441,3910323.6158767403,-3583795.880155989,-4323715.178017633,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50889206047475,47.79676296821123,-172.42629505997118,-86.70473903169992,184.50889206047475,47.79676296821123,-172.42629505997118,-86.70473903169992,0.0,0.0,0.0,0.0,19.0,19.5,20.0,20.5,-5.0,-5.0,-5.0,-5.0,0.0,0.0,3910323.7198356353,-3583795.901295167,-4323715.001253148,0.0,0.0,-1.0,160.05195365647245,8,0.0,2.0,0.0,0.0,1.840404443559626,0.3757017866565518,0.0,1.3418745558692478,,0.0
5000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2801000858740488,0.06922697360313886,-0.7134481893407773,2.4903707867941455e-07,5.79767991363051e-07,-1.1968983944443105e-06,0.2560788320895104,-0.35182778873284676,0.08695453615252202,-0.8961471684235394,3941542.915188664,-3570989.506852827,-4305940.7511325395,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.50784461388665,47.79571519089208,-172.42524666552146,-86.70369162162999,0.0,0.0,0.0,0.0,19.01980533988178,19.50990264792839,20.000000085373383,20.49009741866698,-5.0,-5.0,-5.0,-5.0,2.544777686352966e-09,1.3230361991152975e-09,3940919.8294282514,-3571246.74351997,-4306297.378845285,139.05182002432923,259895.2595571876,-1.0,160.05182002432923,8,0.0,2.0,0.0,0.0,1.8404034120059654,0.3756977874565295,0.0,1.3418782008612251,,0.0
10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28009914093819654,0.06922551649756566,-0.7134516342689059,9.424162467043044e-07,1.260994485202291e-06,-1.927045452874762e-06,0.2560755311037907,-0.35182567721566077,0.08695247740061401,-0.8961491404311834,3972639.8166205855,-3558072.241872344,-4288032.232698846,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.76195336281187,184.50679672295638,47.79466731211439,-172.42419873782342,-86.70264479615716,0.0,0.0,0.0,0.0,19.039218430084556,19.519609171452963,20.000000169055397,20.48039096041779,-5.0,-5.0,-5.0,-5.0,1.6527445249418095e-09,-8.642728606863228e-10,3972019.188316501,-3558331.692474391,-4288391.536815917,139.05139073770502,260590.51765280342,-1.0,160.05139073770502,8,0.0,2.0,0.0,0.0,1.8404015841150076,0.3756929209183376,0.0,1.341884729237027,,0.0
15000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2800970956918723,0.06922239768408799,-0.7134561465661929,1.9512167992314807e-06,1.4757789322741496e-06,-2.3204303421585425e-06,0.2560716963745215,-0.3518220341352667,0.08694829448616415,-0.8961520723062272,4003613.3520797724,-3545044.4841711996,-4269990.177803123,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.50574851660468,47.79361989977875,-172.42315114688736,-86.70159807792217,0.0,0.0,0.0,0.0,19.058247039210695,19.529123454866298,20.000000251079545,20.470876740986014,-5.0,-5.0,-5.0,-5.0,-4.12717442444028e-10,-3.0452067534270657e-10,4002995.2005561944,-3545306.140694763,-4270352.147181427,139.05095833466797,261285.77340510683,-1.0,160.05095833466797,8,0.0,2.0,0.0,0.0,1.840400879769545,0.3756911484808432,0.0,1.3418903412377834,,0.0
20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28009480860274627,0.06921714517831434,-0.7134609293767619,2.886958453345034e-06,1.0398806332627923e-06,-2.7841619739903285e-06,0.2560678970004834,-0.3518180972024044,0.08694143398050244,-0.8961553691542796,4034462.557247589,-3531906.6361362617,-4251815.145692051,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.5047003833119,47.79257313812584,-172.42210348560448,-86.70055090122011,0.0,0.0,0.0,0.0,19.076898782003468,19.538449305531554,20.00000033147867,20.461550953034095,-5.0,-5.0,-5.0,-5.0,-2.1353571355576485e-09,-2.179291117935671e-10,4033846.9017533534,-3532170.490499064,-4252179.7691056635,139.05099733011332,261981.02801518425,-1.0,160.05099733011332,8,0.0,2.0,0.0,0.0,1.8404015924148314,0.37569111549447165,0.0,1.3418911595712435,,0.0
25000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28009352988149117,0.06920980821355567,-0.7134661153817946,3.4212920856215576e-06,3.0459347293680134e-07,-3.6674516572099637e-06,0.25606342572309665,-0.3518152386658204,0.08693190879835726,-0.8961586930238071,4065186.4716095324,-3518659.103572753,-4233507.699755787,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.5036526514269,47.79152667586182,-172.42105540476356,-86.69950307768076,0.0,0.0,0.0,0.0,19.095181122394276,19.54759045540616,20.00000041028495,20.452409864629743,-5.0,-5.0,-5.0,-5.0,-2.155368745704432e-09,1.949056323742994e-10,4064573.331317583,-3518925.147624151,-4233874.965896348,139.05177353275948,262676.2846744976,-1.0,160.05177353275948,8,0.0,2.0,0.0,0.0,1.8404021475620975,0.3756872661389063,0.0,1.3418864198826534,,0.0
30000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2800938726519559,0.06920091667252559,-0.7134726576013077,3.5561937192533756e-06,-1.3245925757272e-07,-4.974250221876379e-06,0.25605688094233725,-0.35181383605427596,0.08692028755404309,-0.8961622409443388,4095784.1384852016,-3505302.2956922837,-4215068.407511266,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.50260531897413,47.7904799153634,-172.42000690041394,-86.69845495120215,0.0,0.0,0.0,0.0,19.113101376489485,19.556550562535158,20.000000487529928,20.443449817752512,-5.0,-5.0,-5.0,-5.0,-4.11778033893167e-10,4.4678631165121284e-10,4095173.532491645,-3505570.5212138915,-4215438.304988159,139.05312526007882,263371.54683449364,-1.0,160.05312526007882,8,0.0,2.0,0.0,0.0,1.8404003983890915,0.3756744153740893,0.0,1.3418790994461747,,0.0
35000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.280095308402872,0.06919104497988514,-0.7134815451316355,3.622327442501785e-06,8.092198628092281e-08,-6.360004319787811e-06,0.2560473201012161,-0.35181296149235103,0.08690722662198742,-0.8961665827042656,4126254.6050581224,-3491836.6251007835,-4196497.840585347,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.5015580552892,47.78943250443093,-172.41895831710877,-86.69740711496357,0.0,0.0,0.0,0.0,19.13066671549818,19.56533321251513,20.000000563244544,20.43466722682999,-5.0,-5.0,-5.0,-5.0,1.6455648961982876e-09,3.175473661798321e-10,4125646.55238117,-3492107.0238068737,-4196870.357925782,139.0545964412562,264066.8162623743,-1.0,160.0545964412562,8,0.0,2.0,0.0,0.0,1.8403953923426142,0.3756520157172256,0.0,1.341873466886884,,0.0
40000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28009660188727614,0.0691803393598538,-0.7134929892036332,4.006938818061787e-06,7.617031386785322e-07,-7.41518940963994e-06,0.2560350353010776,-0.35181114523919677,0.08689292998999451,-0.8961721918814569,4156596.922405445,-3478262.5077863983,-4177796.574697798,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.5005104731265,47.78838462609859,-172.4179100643724,-86.69635992330558,0.0,0.0,0.0,0.0,19.14788416860184,19.573941919929027,20.000000637459085,20.426058577302868,-5.0,-5.0,-5.0,-5.0,2.3271647571948454e-09,-6.648986546528215e-11,4155991.4419846274,-3478535.0713239578,-4178171.7003470184,139.05581192399106,264762.0924829225,-1.0,160.05581192399106,8,0.0,2.0,0.0,0.0,1.8403881550192378,0.3756246077712408,0.0,1.341871569369963,,0.0
45000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2800968275728308,0.0691683974684098,-0.7135062493278204,4.835203307052548e-06,1.3422450428173501e-06,-8.002293133914285e-06,0.2560213129073398,-0.3518075851092077,0.0868769813999688,-0.8961790560483207,4186810.1455275225,-3464580.363107199,-4158965.1896441733,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.49946244731075,47.78733684800551,-172.41686227971738,-86.69531320016462,0.0,0.0,0.0,0.0,19.16476062576728,19.58238012975257,20.000000710203274,20.41762042421858,-5.0,-5.0,-5.0,-5.0,1.072815879095651e-09,-3.974108745789389e-10,4186207.2562233317,-3464855.0830557896,-4159342.9119658903,139.05678619147125,265457.374065665,-1.0,160.05678619147125,8,0.0,2.0,0.0,0.0,1.8403808462431386,0.37559808391341515,0.0,1.341871547893845,,0.0
